0,@USER She should ask a few native Americans what their take on this is.,OFF
1,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF
2,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT
3,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF
4,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT
5,@USER Liberals are all Kookoo !!!,OFF
6,@USER @USER Oh noes! Tough shit.,OFF
7,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF
8,@USER Buy more icecream!!!,NOT
9,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF
10,@USER @USER @USER It’s not my fault you support gun control,NOT
11,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT
12,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF
13,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT
14,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT
15,@USER you are also the king of taste,NOT
16,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT
17,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT
18,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT
19,@USER @USER @USER gun control! That is all these kids are asking for!,OFF
